  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1  1.2655E-06  1.0000E+03  4.2490E+08
  2  1.5986E-06  1.0000E+03  3.9176E+08
  3  2.0159E-06  1.0000E+03  3.6139E+08
  4  2.5375E-06  1.0000E+03  3.3356E+08
  5  3.1884E-06  1.0000E+03  3.0803E+08
  6  3.9991E-06  1.0000E+03  2.8460E+08
  7  5.0071E-06  1.0000E+03  2.6309E+08
  8  6.2580E-06  1.0000E+03  2.4333E+08
  9  7.8076E-06  1.0000E+03  2.2517E+08
 10  9.7234E-06  1.0000E+03  2.0847E+08
 11  1.2088E-05  1.0000E+03  1.9311E+08
 12  1.5001E-05  1.0000E+03  1.7897E+08
 13  1.8582E-05  1.0000E+03  1.6595E+08
 14  2.2978E-05  1.0000E+03  1.5395E+08
 15  2.8363E-05  1.0000E+03  1.4289E+08
 16  3.4948E-05  1.0000E+03  1.3269E+08
 17  4.2985E-05  1.0000E+03  1.2328E+08
 18  5.2776E-05  1.0000E+03  1.1460E+08
 19  6.4683E-05  1.0000E+03  1.0657E+08
 20  7.9135E-05  1.0000E+03  9.9159E+07
 21  9.6643E-05  1.0000E+03  9.2304E+07
 22  1.1782E-04  1.0000E+03  8.5964E+07
 23  1.4337E-04  1.0000E+03  8.0096E+07
 24  1.7416E-04  1.0000E+03  7.4664E+07
 25  2.1118E-04  1.0000E+03  6.9632E+07
 26  2.5562E-04  1.0000E+03  6.4969E+07
 27  3.0887E-04  1.0000E+03  6.0645E+07
 28  3.7253E-04  1.0000E+03  5.6634E+07
 29  4.4853E-04  1.0000E+03  5.2912E+07
 30  5.3906E-04  1.0000E+03  4.9456E+07
 31  6.4672E-04  1.0000E+03  4.6245E+07
 32  7.7450E-04  1.0000E+03  4.3261E+07
 33  9.2587E-04  1.0000E+03  4.0486E+07
 34  1.1049E-03  1.0000E+03  3.7905E+07
 35  1.3161E-03  1.0000E+03  3.5502E+07
 36  1.5650E-03  1.0000E+03  3.3265E+07
 37  1.8576E-03  1.0000E+03  3.1181E+07
 38  2.2010E-03  1.0000E+03  2.9239E+07
 39  2.6032E-03  1.0000E+03  2.7427E+07
 40  3.0735E-03  1.0000E+03  2.5737E+07
 41  3.6223E-03  1.0000E+03  2.4160E+07
 42  4.2615E-03  1.0000E+03  2.2687E+07
 43  5.0046E-03  1.0000E+03  2.1311E+07
 44  5.8668E-03  1.0000E+03  2.0025E+07
 45  6.8653E-03  1.0000E+03  1.8822E+07
 46  8.0194E-03  1.0000E+03  1.7697E+07
 47  9.3510E-03  1.0000E+03  1.6644E+07
 48  1.0884E-02  1.0000E+03  1.5658E+07
 49  1.2646E-02  1.0000E+03  1.4734E+07
 50  1.4668E-02  1.0000E+03  1.3868E+07
 51  1.6982E-02  1.0000E+03  1.3055E+07
 52  1.9626E-02  1.0000E+03  1.2293E+07
 53  2.2642E-02  1.0000E+03  1.1578E+07
 54  2.6074E-02  1.0000E+03  1.0906E+07
 55  2.9974E-02  1.0000E+03  1.0274E+07
 56  3.4396E-02  1.0000E+03  9.6808E+06
 57  3.9399E-02  1.0000E+03  9.1225E+06
 58  4.5051E-02  1.0000E+03  8.5972E+06
 59  5.1421E-02  1.0000E+03  8.1027E+06
 60  5.8588E-02  1.0000E+03  7.6368E+06
 61  6.6635E-02  1.0000E+03  7.1977E+06
 62  7.5653E-02  1.0000E+03  6.7838E+06
 63  8.5738E-02  1.0000E+03  6.3932E+06
 64  9.6996E-02  1.0000E+03  6.0246E+06
 65  1.0954E-01  1.0000E+03  5.6765E+06
 66  1.2348E-01  1.0000E+03  5.3475E+06
 67  1.3895E-01  1.0000E+03  5.0366E+06
 68  1.5607E-01  1.0000E+03  4.7425E+06
 69  1.7500E-01  1.0000E+03  4.4642E+06
 70  1.9588E-01  1.0000E+03  4.2007E+06
 71  2.1885E-01  1.0000E+03  3.9510E+06
 72  2.4409E-01  1.0000E+03  3.7144E+06
 73  2.7175E-01  1.0000E+03  3.4900E+06
 74  3.0201E-01  1.0000E+03  3.2771E+06
 75  3.3504E-01  1.0000E+03  3.0750E+06
 76  3.7102E-01  1.0000E+03  2.8831E+06
 77  4.1014E-01  1.0000E+03  2.7006E+06
 78  4.5257E-01  1.0000E+03  2.5272E+06
 79  4.9851E-01  1.0000E+03  2.3623E+06
 80  5.4813E-01  1.0000E+03  2.2054E+06
 81  6.0163E-01  1.0000E+03  2.0601E+06
 82  6.5916E-01  1.0000E+03  1.9340E+06
 83  7.2092E-01  1.0000E+03  1.8175E+06
 84  7.8707E-01  1.0000E+03  1.6995E+06
 85  8.5775E-01  1.0000E+03  1.5805E+06
 86  9.3312E-01  1.0000E+03  1.4607E+06
 87  1.0133E+00  1.0000E+03  1.3405E+06
 88  1.0984E+00  1.0000E+03  1.2202E+06
 89  1.1886E+00  1.0000E+03  1.1004E+06
 90  1.2838E+00  1.0000E+03  9.8150E+05
 91  1.3843E+00  1.0000E+03  8.6409E+05
 92  1.4899E+00  1.0000E+03  7.4878E+05
 93  1.6008E+00  1.0000E+03  6.3632E+05
 94  1.7168E+00  1.0000E+03  5.2748E+05
 95  1.8380E+00  1.0000E+03  4.2315E+05
 96  1.9643E+00  1.0000E+03  3.2432E+05
 97  2.0954E+00  1.0000E+03  3.0878E+05
 98  2.2314E+00  1.0000E+03  3.0767E+05
 99  2.3720E+00  1.0000E+03  3.0639E+05
100  2.5169E+00  1.0000E+03  4.5728E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1  1.2655E-06  1.5996E+03  5.1214E+08
  2  1.5986E-06  1.5996E+03  4.6790E+08
  3  2.0159E-06  1.5996E+03  4.2823E+08
  4  2.5375E-06  1.5996E+03  3.9264E+08
  5  3.1884E-06  1.5996E+03  3.6064E+08
  6  3.9991E-06  1.5996E+03  3.3180E+08
  7  5.0071E-06  1.5996E+03  3.0576E+08
  8  6.2580E-06  1.5996E+03  2.8223E+08
  9  7.8076E-06  1.5996E+03  2.6093E+08
 10  9.7234E-06  1.5996E+03  2.4160E+08
 11  1.2088E-05  1.5996E+03  2.2399E+08
 12  1.5001E-05  1.5996E+03  2.0790E+08
 13  1.8582E-05  1.5996E+03  1.9313E+08
 14  2.2978E-05  1.5996E+03  1.7950E+08
 15  2.8363E-05  1.5996E+03  1.6691E+08
 16  3.4948E-05  1.5996E+03  1.5523E+08
 17  4.2985E-05  1.5996E+03  1.4440E+08
 18  5.2776E-05  1.5996E+03  1.3434E+08
 19  6.4683E-05  1.5996E+03  1.2501E+08
 20  7.9135E-05  1.5996E+03  1.1635E+08
 21  9.6643E-05  1.5996E+03  1.0833E+08
 22  1.1782E-04  1.5996E+03  1.0090E+08
 23  1.4337E-04  1.5996E+03  9.4013E+07
 24  1.7416E-04  1.5996E+03  8.7636E+07
 25  2.1118E-04  1.5996E+03  8.1728E+07
 26  2.5562E-04  1.5996E+03  7.6252E+07
 27  3.0887E-04  1.5996E+03  7.1175E+07
 28  3.7253E-04  1.5996E+03  6.6466E+07
 29  4.4853E-04  1.5996E+03  6.2096E+07
 30  5.3906E-04  1.5996E+03  5.8038E+07
 31  6.4672E-04  1.5996E+03  5.4269E+07
 32  7.7450E-04  1.5996E+03  5.0766E+07
 33  9.2587E-04  1.5996E+03  4.7509E+07
 34  1.1049E-03  1.5996E+03  4.4480E+07
 35  1.3161E-03  1.5996E+03  4.1661E+07
 36  1.5650E-03  1.5996E+03  3.9036E+07
 37  1.8576E-03  1.5996E+03  3.6591E+07
 38  2.2010E-03  1.5996E+03  3.4312E+07
 39  2.6032E-03  1.5996E+03  3.2187E+07
 40  3.0735E-03  1.5996E+03  3.0204E+07
 41  3.6223E-03  1.5996E+03  2.8353E+07
 42  4.2615E-03  1.5996E+03  2.6624E+07
 43  5.0046E-03  1.5996E+03  2.5009E+07
 44  5.8668E-03  1.5996E+03  2.3499E+07
 45  6.8653E-03  1.5996E+03  2.2087E+07
 46  8.0194E-03  1.5996E+03  2.0766E+07
 47  9.3510E-03  1.5996E+03  1.9530E+07
 48  1.0884E-02  1.5996E+03  1.8371E+07
 49  1.2646E-02  1.5996E+03  1.7286E+07
 50  1.4668E-02  1.5996E+03  1.6270E+07
 51  1.6982E-02  1.5996E+03  1.5316E+07
 52  1.9626E-02  1.5996E+03  1.4421E+07
 53  2.2642E-02  1.5996E+03  1.3581E+07
 54  2.6074E-02  1.5996E+03  1.2793E+07
 55  2.9974E-02  1.5996E+03  1.2052E+07
 56  3.4396E-02  1.5996E+03  1.1355E+07
 57  3.9399E-02  1.5996E+03  1.0700E+07
 58  4.5051E-02  1.5996E+03  1.0083E+07
 59  5.1421E-02  1.5996E+03  9.5023E+06
 60  5.8588E-02  1.5996E+03  8.9554E+06
 61  6.6635E-02  1.5996E+03  8.4399E+06
 62  7.5653E-02  1.5996E+03  7.9539E+06
 63  8.5738E-02  1.5996E+03  7.4954E+06
 64  9.6996E-02  1.5996E+03  7.0627E+06
 65  1.0954E-01  1.5996E+03  6.6541E+06
 66  1.2348E-01  1.5996E+03  6.2680E+06
 67  1.3895E-01  1.5996E+03  5.9029E+06
 68  1.5607E-01  1.5996E+03  5.5576E+06
 69  1.7500E-01  1.5996E+03  5.2307E+06
 70  1.9588E-01  1.5996E+03  4.9213E+06
 71  2.1885E-01  1.5996E+03  4.6281E+06
 72  2.4409E-01  1.5996E+03  4.3503E+06
 73  2.7175E-01  1.5996E+03  4.0868E+06
 74  3.0201E-01  1.5996E+03  3.8367E+06
 75  3.3504E-01  1.5996E+03  3.5994E+06
 76  3.7102E-01  1.5996E+03  3.3739E+06
 77  4.1014E-01  1.5996E+03  3.1597E+06
 78  4.5257E-01  1.7263E+03  3.0320E+06
 79  4.9851E-01  2.1448E+03  3.0459E+06
 80  5.4813E-01  2.5342E+03  3.0049E+06
 81  6.0163E-01  2.8183E+03  2.9057E+06
 82  6.5916E-01  3.2195E+04  6.1273E+06
 83  7.2092E-01  3.2496E+04  5.7653E+06
 84  7.8707E-01  3.3484E+04  5.4455E+06
 85  8.5775E-01  3.5124E+04  5.1456E+06
 86  9.3312E-01  3.7358E+04  4.8543E+06
 87  1.0133E+00  3.9954E+04  4.5556E+06
 88  1.0984E+00  4.2734E+04  4.2409E+06
 89  1.1886E+00  4.5511E+04  3.9054E+06
 90  1.2838E+00  4.8326E+04  3.5536E+06
 91  1.3843E+00  5.1260E+04  3.1904E+06
 92  1.4899E+00  5.4294E+04  2.8180E+06
 93  1.6008E+00  5.7309E+04  2.4381E+06
 94  1.7168E+00  6.0096E+04  2.0531E+06
 95  1.8380E+00  6.2443E+04  1.6681E+06
 96  1.9643E+00  6.4427E+04  1.2918E+06
 97  2.0954E+00  6.6434E+04  1.2422E+06
 98  2.2314E+00  6.8737E+04  1.2518E+06
 99  2.3720E+00  7.0535E+04  1.2573E+06
100  2.5169E+00  7.5506E+04  3.3162E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1  1.2655E-06  1.6268E+03  5.2646E+08
  2  1.5986E-06  1.6268E+03  4.7766E+08
  3  2.0159E-06  1.6268E+03  4.3391E+08
  4  2.5375E-06  1.6268E+03  3.9525E+08
  5  3.1884E-06  1.6268E+03  3.6174E+08
  6  3.9991E-06  1.6268E+03  3.3171E+08
  7  5.0071E-06  1.6268E+03  3.0476E+08
  8  6.2580E-06  1.6268E+03  2.8083E+08
  9  7.8076E-06  1.6268E+03  2.5942E+08
 10  9.7234E-06  1.6268E+03  2.4018E+08
 11  1.2088E-05  1.6268E+03  2.2281E+08
 12  1.5001E-05  1.6268E+03  2.0703E+08
 13  1.8582E-05  1.6268E+03  1.9258E+08
 14  2.2978E-05  1.6268E+03  1.7927E+08
 15  2.8363E-05  1.6268E+03  1.6694E+08
 16  3.4948E-05  1.6268E+03  1.5547E+08
 17  4.2985E-05  1.6268E+03  1.4479E+08
 18  5.2776E-05  1.6268E+03  1.3482E+08
 19  6.4683E-05  1.6268E+03  1.2553E+08
 20  7.9135E-05  1.6268E+03  1.1689E+08
 21  9.6643E-05  1.6268E+03  1.0885E+08
 22  1.1782E-04  1.6268E+03  1.0139E+08
 23  1.4337E-04  1.6268E+03  9.4479E+07
 24  1.7416E-04  1.6268E+03  8.8070E+07
 25  2.1118E-04  1.6268E+03  8.2132E+07
 26  2.5562E-04  1.6268E+03  7.6627E+07
 27  3.0887E-04  1.6268E+03  7.1524E+07
 28  3.7253E-04  1.6268E+03  6.6789E+07
 29  4.4853E-04  1.6268E+03  6.2397E+07
 30  5.3906E-04  1.6268E+03  5.8318E+07
 31  6.4672E-04  1.6268E+03  5.4529E+07
 32  7.7450E-04  1.6268E+03  5.1009E+07
 33  9.2587E-04  1.6268E+03  4.7737E+07
 34  1.1049E-03  1.6268E+03  4.4693E+07
 35  1.3161E-03  1.6268E+03  4.1861E+07
 36  1.5650E-03  1.6268E+03  3.9225E+07
 37  1.8576E-03  1.6268E+03  3.6769E+07
 38  2.2010E-03  1.6268E+03  3.4479E+07
 39  2.6032E-03  1.6268E+03  3.2344E+07
 40  3.0735E-03  1.6268E+03  3.0352E+07
 41  3.6223E-03  1.6268E+03  2.8492E+07
 42  4.2615E-03  1.6268E+03  2.6755E+07
 43  5.0046E-03  1.6268E+03  2.5132E+07
 44  5.8668E-03  1.6268E+03  2.3615E+07
 45  6.8653E-03  1.6268E+03  2.2195E+07
 46  8.0194E-03  1.6268E+03  2.0867E+07
 47  9.3510E-03  1.6268E+03  1.9624E+07
 48  1.0884E-02  1.6268E+03  1.8460E+07
 49  1.2646E-02  1.6268E+03  1.7369E+07
 50  1.4668E-02  1.6268E+03  1.6347E+07
 51  1.6982E-02  1.6268E+03  1.5388E+07
 52  1.9626E-02  1.6268E+03  1.4489E+07
 53  2.2642E-02  1.6268E+03  1.3645E+07
 54  2.6074E-02  1.6268E+03  1.2853E+07
 55  2.9974E-02  1.6268E+03  1.2108E+07
 56  3.4396E-02  1.6268E+03  1.1408E+07
 57  3.9399E-02  1.6268E+03  1.0749E+07
 58  4.5051E-02  1.6268E+03  1.0129E+07
 59  5.1421E-02  1.6268E+03  9.5456E+06
